dataset,strategy,fit_method,accuracy,brier_score,time,num_rules,num_preds,trial_count
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.23589491844177246,1,8,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3269374370574951,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3037075996398926,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.28737664222717285,2,7,30
Nursery,best_rule,FOLD-RM (fit),0.3333333333333333,0.8332562463672095,1.022202730178833,3,6,30
Nursery,best_rule,FOLD-RM (fit),0.3279320987654321,0.8319824789795499,0.8422331809997559,1,1,30
Nursery,best_rule,FOLD-RM (fit),0.33989197530864196,0.8349521559089156,1.11138916015625,2,8,30
Nursery,best_rule,FOLD-RM (fit),0.33526234567901236,0.8338150198263914,0.7975707054138184,1,1,30
Nursery,best_rule,FOLD-RM (fit),0.3395061728395062,0.8347994458116534,1.1419293880462646,2,5,30
Nursery,best_rule,FOLD-RM (fit),0.3341049382716049,0.8334874081141608,1.121591329574585,2,6,30
Nursery,best_rule,FOLD-RM (fit),0.33449074074074076,0.8336221198958358,1.1252636909484863,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.3236882716049383,0.8309215292515792,1.1379673480987549,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.3341049382716049,0.8334491462977651,1.2096843719482422,2,6,30
Nursery,best_rule,FOLD-RM (fit),0.33641975308641975,0.8340661079058285,1.1028149127960205,2,6,30
Nursery,best_rule,FOLD-RM (fit),0.3402777777777778,0.835048605864124,1.1535353660583496,2,6,30
Nursery,best_rule,FOLD-RM (fit),0.35108024691358025,0.8377491953765426,1.1535353660583496,2,8,30
Nursery,best_rule,FOLD-RM (fit),0.34915123456790126,0.8372669548339153,1.0400357246398926,2,6,30
Nursery,best_rule,FOLD-RM (fit),0.3410493827160494,0.8352617604041699,1.1772775650024414,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.33834876543209874,0.8345866195486137,1.1327857971191406,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.3414351851851852,0.8353582103593785,1.1694259643554688,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.33101851851851855,0.8327540702083355,1.1052474975585938,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.32137345679012347,0.8303225747703293,1.071094036102295,2,8,30
Nursery,best_rule,FOLD-RM (fit),0.33217592592592593,0.8330434201041692,1.1622710227966309,2,7,30
Nursery,best_rule,FOLD-RM (fit),0.3464506172839506,0.8366120597770865,1.068222999572754,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.3244598765432099,0.8311144292021195,1.1212830543518066,3,6,30
Nursery,best_rule,FOLD-RM (fit),0.33449074074074076,0.8335439955478419,1.0024139881134033,2,5,30
Nursery,best_rule,FOLD-RM (fit),0.3395061728395062,0.834875969444447,0.9842486381530762,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.3341049382716049,0.8335054153009285,1.0757040977478027,2,6,30
Nursery,best_rule,FOLD-RM (fit),0.3429783950617284,0.8357440101802119,0.9858789443969727,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.33526234567901236,0.8338150198263914,0.9569535255432129,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.33024691358024694,0.8325611702777806,1.0424556732177734,3,7,30
Nursery,best_rule,FOLD-RM (fit),0.310570987654321,0.8276219834444425,0.9485788345336914,2,8,30
Nursery,best_rule,FOLD-RM (fit),0.32407407407407407,0.8309196002392338,0.948936939239502,2,6,30
Nursery,best_rule,FOLD-RM (fit),0.33641975308641975,0.834066107905828,1.0170068740844727,2,6,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3387345679012346,0.8346830695138916,1.0795178413391113,2,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3236882716049383,0.8308832674351827,1.1052815914154053,2,6,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3460648148148148,0.8365156098218784,1.1308844089508057,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3410493827160494,0.8352617604041701,1.1550521850585938,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.33719135802469136,0.8342972696527804,1.216212272644043,3,6,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3167438271604938,0.8291854378370349,1.1692395210266113,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.32677469135802467,0.8316931290537397,1.1853718757629395,3,6,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3402777777777778,0.835030598677357,1.1535923480987549,3,6,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3113425925925926,0.8278351380444422,1.1508517265319824,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.34375,0.8359369100906283,1.1667048931121826,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3244598765432099,0.8311144292021193,1.1070899963378906,2,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.33371913580246915,0.8333526963324869,1.1786754131317139,2,5,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.34066358024691357,0.8351653104489618,1.1453320980072021,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3314043209876543,0.8328505201736136,1.1908562183380127,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.33294753086419754,0.833236320034725,1.1860289573669434,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.33449074074074076,0.8336221198958356,1.1202311515808105,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.33487654320987653,0.8337185698611137,1.1192421913146973,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3410493827160494,0.8352617604041703,1.1141023635864258,2,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.33834876543209874,0.8345866195486138,1.072709560394287,2,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3445216049382716,0.8361298100010452,1.1901018619537354,3,6,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.32947530864197533,0.8323682788806303,1.1243886947631836,3,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.32330246913580246,0.8307485556435161,1.019036054611206,2,5,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.33487654320987653,0.8337185698611137,1.107541799545288,2,7,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3368055555555556,0.8341805650578729,1.0399291515350342,2,8,30
Nursery,best_rule,CON-FOLD (confidence_fit),0.3410493827160494,0.8352617604041702,1.0604658126831055,2,7,30
